"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,767,3125.00000000005,2084.59642857144,6000,6136,24,1500,2,0.5,0,1,8
1500,772,3125.00000000005,2098.18571428572,6000,6176,24,1500,2,0.5,0,1,8
1500,753,3086.15000000002,2046.54642857144,5994,6024,24,1500,2,0.5,0,1,8
1500,763,3093.35000000002,2073.72500000001,6026,6104,24,1500,2,0.5,0,1,8
1500,1500,2944.44999999997,2724.90714285715,5924,6114,24,1500,2,0.5,0,1,8
1500,764,3093.80000000002,2076.44285714287,6028,6112,24,1500,2,0.5,0,1,8
1500,1500,2689.86428571429,2689.86428571429,5982,5982,24,1500,2,0.5,0,1,8
1500,1500,3125.00000000005,3095.15000000002,6000,6034,24,1500,2,0.5,0,1,8
1500,754,3125.00000000005,2049.26428571429,6000,6032,24,1500,2,0.5,0,1,8
1500,1500,2933.04999999998,3125.00000000005,5876,6000,24,1500,2,0.5,0,1,8
1500,1500,2931.14999999998,3072.65000000002,5868,5934,24,1500,2,0.5,0,1,8
1500,1500,3087.50000000001,3087.50000000001,6000,6000,24,1500,2,0.5,0,1,8
1500,1500,2693.05000000001,3087.05000000002,5994,5998,24,1500,2,0.5,0,1,8
1500,1500,2694.64285714287,2962.49999999998,6000,6000,24,1500,2,0.5,0,1,8
1500,1500,2686.67857142858,2957.74999999997,5970,5980,24,1500,2,0.5,0,1,8
1500,762,3082.10000000002,2071.00714285715,5976,6096,24,1500,2,0.5,0,1,8
1500,774,3076.70000000002,2103.62142857144,5952,6192,24,1500,2,0.5,0,1,8
1500,1500,2931.14999999998,3072.65000000002,5868,5934,24,1500,2,0.5,0,1,8
1500,761,3092.45000000002,2068.28928571429,6022,6088,24,1500,2,0.5,0,1,8
1500,768,2723.31428571429,2087.31428571429,6108,6144,24,1500,2,0.5,0,1,8
1500,775,3098.75000000002,2106.33928571429,6050,6200,24,1500,2,0.5,0,1,8
1500,1500,2960.59999999998,2964.39999999997,5992,6008,24,1500,2,0.5,0,1,8
1500,750,2962.49999999997,2038.39285714287,6000,6000,24,1500,2,0.5,0,1,8
1500,756,3125.00000000005,2054.70000000001,6000,6048,24,1500,2,0.5,0,1,8
