"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,1186,2891.29999999997,3223.37857142859,5128,9488,24,1500,2,0.5,0,1,8
1500,1500,1582.82857142857,1582.82857142857,1812,1812,24,1500,2,0.5,0,1,8
1500,813,3059.14999999997,2209.61785714287,5874,6504,24,1500,2,0.5,0,1,8
1500,1052,3125.00000000005,2859.18571428573,6000,8416,24,1500,2,0.5,0,1,8
1500,1500,1836.09285714286,1836.09285714286,2766,2766,24,1500,2,0.5,0,1,8
1500,939,2995.69285714287,2552.06785714287,7134,7512,24,1500,2,0.5,0,1,8
1500,998,3199.09999999998,2712.42142857144,6496,7984,24,1500,2,0.5,0,1,8
1500,962,3163.89999999994,2614.57857142858,6848,7696,24,1500,2,0.5,0,1,8
1500,896,3101.19999999994,2435.20000000001,6584,7168,24,1500,2,0.5,0,1,8
1500,1500,2677.12142857144,3092.44999999997,5934,6022,24,1500,2,0.5,0,1,8
1500,1439,3397.54999999999,3910.99642857145,7378,11512,24,1500,2,0.5,0,1,8
1500,1087,2935.85000000005,2954.31071428573,5326,8696,24,1500,2,0.5,0,1,8
1500,765,3094.24999999997,2079.16071428572,6030,6120,24,1500,2,0.5,0,1,8
1500,1500,2205.63571428572,3225.64999999998,4158,6614,24,1500,2,0.5,0,1,8
1500,1097,3247.3642857143,2981.4892857143,8082,8776,24,1500,2,0.5,0,1,8
1500,984,3184.79999999994,2674.37142857144,6936,7872,24,1500,2,0.5,0,1,8
1500,1500,2065.46428571429,2587.25000000001,3630,4420,24,1500,2,0.5,0,1,8
1500,992,3125.00000000005,2696.1142857143,6000,7936,24,1500,2,0.5,0,1,8
1500,820,3119.00000000009,2228.64285714287,6140,6560,24,1500,2,0.5,0,1,8
1500,1411,3384.94999999998,3834.89642857145,7322,11288,24,1500,2,0.5,0,1,8
1500,1500,2484.65,2861.15000000003,3988,4994,24,1500,2,0.5,0,1,8
1500,1056,2949.79999999996,2870.05714285715,5388,8448,24,1500,2,0.5,0,1,8
1500,1242,2866.09999999998,3375.57857142859,5016,9936,24,1500,2,0.5,0,1,8
1500,811,3060.04999999997,2204.18214285715,5878,6488,24,1500,2,0.5,0,1,8
1500,1500,2811.45000000002,2811.45000000002,5364,5364,24,1500,2,0.5,0,1,8
1500,811,3020.44999999995,2204.18214285715,6244,6488,24,1500,2,0.5,0,1,8
1500,1044,3162.94285714287,2837.44285714287,7764,8352,24,1500,2,0.5,0,1,8
1500,903,3107.85000000001,2454.22500000001,6612,7224,24,1500,2,0.5,0,1,8
1500,1153,2906.15000000004,3133.6892857143,5194,9224,24,1500,2,0.5,0,1,8
1500,821,3029.95000000003,2231.36071428572,6284,6568,24,1500,2,0.5,0,1,8
1500,1239,3125.00000000005,3367.42500000001,6000,9912,24,1500,2,0.5,0,1,8
1500,999,3199.05,2715.1392857143,6996,7992,24,1500,2,0.5,0,1,8
1500,945,3175.25000000008,2568.37500000001,6390,7560,24,1500,2,0.5,0,1,8
1500,1500,2765.30000000002,3409.69999999999,4568,7432,24,1500,2,0.5,0,1,8
1500,1335,2824.24999999999,3628.3392857143,4830,10680,24,1500,2,0.5,0,1,8
1500,1500,2368.10714285715,2767.75000000001,4770,5180,24,1500,2,0.5,0,1,8
